DATEPRD,WELL_BORE_CODE,NPD_WELL_BORE_CODE,NPD_WELL_BORE_NAME,NPD_FIELD_CODE,NPD_FIELD_NAME,NPD_FACILITY_CODE,NPD_FACILITY_NAME,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_ANNULUS_PRESS,AVG_CHOKE_SIZE_P,AVG_CHOKE_UOM,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,BORE_WI_VOL,FLOW_KIND,WELL_TYPE
2008-02-12,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,11.5,308.056,104.418,201.25,18.64,14.48443,%,106.806,16.295,92.475,285,38889,385,,production,OP
2008-02-13,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24,303.034,105.403,182.145,16.467,22.83299,%,120.889,53.374,89.62,1870,285246,7,,production,OP
2008-02-14,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,22.5,295.586,105.775,181.868,12.66,31.24997,%,113.718,72.738,80.12,3124,509955,1,,production,OP
2008-02-15,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,23.15,297.663,105.752,180.832,5.264,28.51893,%,116.831,69.996,84.251,2608,383427,1,,production,OP
2008-02-16,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24,295.936,105.811,180.501,12.385,30.2279,%,115.434,71.518,82.359,3052,418474,5,,production,OP
2008-02-17,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24,295.552,105.831,180.346,14.385,29.97405,%,115.206,73.642,82.169,2983,422763,2,,production,OP
2008-02-18,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,23,294.211,105.866,180.929,15.98,30.3084,%,113.282,74.16,80.263,2981,413831,6,,production,OP
2008-02-19,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24,293.829,105.868,180.06,18.811,30.48698,%,113.769,74.902,81.275,3046,429218,1,,production,OP
2008-02-20,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24,293.061,105.879,179.662,19.741,29.90702,%,113.4,73.039,80.774,3057,442983,0,,production,OP
2008-02-21,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24,292.54,105.883,179.434,19.432,30.49301,%,113.106,71.737,79.975,3030,423809,0,,production,OP
2008-02-22,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,23.67,292.362,105.882,179.282,1.039,29.63448,%,113.079,72.327,79.948,2908,397808,0,,production,OP
2008-02-23,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,15.14,292.088,105.849,179.486,11.011,28.95718,%,112.603,69.597,79.162,1852,252078,0,,production,OP
2008-02-24,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24,290.542,105.906,179.355,8.583,30.79962,%,111.187,73.193,77.932,3127,442808,0,,production,OP
2008-02-25,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24,290.208,105.896,178.758,12.304,30.68344,%,111.45,73.108,78.257,3046,439178,0,,production,OP
2008-02-26,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24,289.536,105.902,178.603,12.506,30.92304,%,110.934,72.308,77.723,3047,446905,0,,production,OP
2008-02-27,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24,288.933,105.902,178.608,12.376,30.84932,%,110.326,74.702,77.128,3036,445616,0,,production,OP
2008-02-28,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,23.67,288.848,105.896,178.22,10.15,29.90044,%,110.629,73.451,77.465,2972,424674,0,,production,OP
2008-02-29,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24,287.514,105.907,178.067,11.424,31.02388,%,109.447,73.396,76.212,3071,450348,0,,production,OP
2008-03-01,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24,286.892,105.909,178.065,11.156,31.06188,%,108.827,74.604,75.573,3068,447584,0,,production,OP
2008-03-02,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24,286.265,105.911,177.944,11.223,31.08744,%,108.321,75.218,74.762,3067,446144,0,,production,OP
2008-03-03,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24,285.728,105.91,177.669,10.866,30.96447,%,108.059,75.124,74.361,3044,443726,0,,production,OP
2008-03-04,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24,285.382,105.904,177.307,9.829,30.60221,%,108.075,74.281,74.441,2983,430247,0,,production,OP
2008-03-05,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24,284.829,105.902,176.96,9.323,30.57649,%,107.869,72.5,74.262,2967,437688,0,,production,OP
2008-03-06,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24,284.295,105.899,176.984,9.114,30.58881,%,107.31,75.002,73.375,2951,432727,2,,production,OP
2008-03-07,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,22.83,284.424,105.878,176.67,6.276,28.82496,%,107.754,71.042,73.568,2657,391265,2,,production,OP
2008-03-08,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,23,284.413,105.871,176.382,4.591,27.94825,%,108.031,69.252,73.795,2578,365769,2,,production,OP
2008-03-09,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24,282.386,105.905,176.457,8.582,31.15911,%,105.93,73.138,71.562,2997,427791,2,,production,OP
2008-03-10,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24,281.522,105.906,176.233,9.012,31.30501,%,105.29,73.336,71.062,3021,440679,1,,production,OP
2008-03-11,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24,280.894,105.908,176.084,8.933,31.37003,%,104.811,73.971,71.283,3010,450972,1,,production,OP
2008-03-12,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,23.78,281.085,105.895,176.032,6.695,29.85867,%,105.053,73.89,71.868,2794,418887,1,,production,OP
2008-03-13,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24,279.488,105.916,176.047,8.641,31.64254,%,103.441,75.309,70.451,3059,458524,1,,production,OP
2008-03-14,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,23.83,279.112,105.912,175.892,7.824,30.92678,%,103.219,75.172,70.393,2965,428015,1,,production,OP
2008-03-15,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24,277.951,105.915,175.811,8.818,32.07412,%,102.14,76.262,69.867,3131,454137,1,,production,OP
2008-03-16,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24,277.293,105.917,175.553,8.41,32.05167,%,101.739,76.004,69.813,3135,454798,1,,production,OP
2008-03-17,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24,276.564,105.921,175.265,8.006,32.07362,%,101.299,75.245,69.322,3143,470240,1,,production,OP
2008-03-18,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24,275.983,105.919,175.072,7.753,32.04644,%,100.911,75.376,69.074,3132,425284,1,,production,OP
2008-03-19,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24,275.363,105.918,174.903,7.476,32.04522,%,100.46,75.593,69.105,3140,454093,1,,production,OP
2008-03-20,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24,274.793,105.915,174.668,6.968,32.01249,%,100.124,74.678,68.918,3157,467466,1,,production,OP
2008-03-21,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24,274.072,105.916,174.498,6.696,32.08725,%,99.574,75.356,68.253,3192,458447,1,,production,OP
2008-03-22,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24,273.456,105.915,174.284,6.462,32.07839,%,99.172,75.319,67.795,3172,458028,1,,production,OP
2008-03-23,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24,272.881,105.913,174.088,6.288,32.0607,%,98.793,75.353,67.405,3160,466335,1,,production,OP
2008-03-24,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24,272.237,105.913,173.835,4.957,32.12839,%,98.402,74.812,67.011,3153,468480,1,,production,OP
2008-03-25,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24,271.684,105.91,173.644,14.906,32.0421,%,98.039,74.959,66.661,3131,406562,1,,production,OP
2008-03-26,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,7.48,271.419,105.907,173.522,14.794,30.92542,%,97.897,75.26,66.578,960,113341,2,,production,OP
2008-03-27,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,0,283.71,104.03,282.532,0.603,,%,1.178,6.731,1.164,0,0,0,,production,OP
2008-03-28,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,1.19,279.416,104.714,187.175,0.412,21.33333,%,92.241,24.1,68.207,73,48936,0,,production,OP
2008-03-29,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24,271.468,105.87,174.191,6.744,32,%,97.277,69.262,65.742,3137,509075,3,,production,OP
2008-03-30,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,10.98,270.742,105.902,173.373,10.981,30.68261,%,97.369,73.106,66.019,1431,137396,2,,production,OP
2008-03-31,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,14.03,271.557,105.862,173.435,7.146,31,%,98.122,70.452,67.129,1951,378533,2,,production,OP
2008-04-01,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24,270.36,105.889,172.928,11.469,29.81203,%,97.431,73.537,66.386,3061,457837,3,,production,OP
2008-04-02,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24,269.645,105.894,172.986,12.75,31.81838,%,96.658,75.81,65.595,3054,461809,3,,production,OP
2008-04-03,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24,268.862,105.897,172.745,13.189,32.00095,%,96.117,75.921,65.052,3103,372986,3,,production,OP
2008-04-04,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24,268.18,105.897,172.49,13.273,32.0812,%,95.691,75.217,64.619,3111,463717,3,,production,OP
2008-04-05,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24,267.456,105.895,172.316,13.266,32.20087,%,95.14,75.461,63.919,3303,463530,3,,production,OP
2008-04-06,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24,266.855,105.887,172.067,13.261,32.2108,%,94.788,75.406,63.121,3028,440906,153,,production,OP
2008-04-07,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24,266.476,105.872,171.737,13.149,32.03321,%,94.74,75.27,63.17,2999,452369,152,,production,OP
2008-04-08,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24,265.9,105.861,171.356,13.064,32.04783,%,94.544,74.629,62.825,3054,451030,4,,production,OP
2008-04-09,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24,265.395,105.853,171.178,12.986,32.00003,%,94.217,74.835,62.791,3026,463595,5,,production,OP
2008-04-10,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24,264.921,105.846,171.109,12.916,31.25186,%,93.812,75.413,62.247,3003,468712,4,,production,OP
2008-04-11,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24,264.334,105.84,170.712,12.716,31.94415,%,93.622,74.198,62.07,3016,458937,10,,production,OP
2008-04-12,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,12.98,264.008,105.838,170.859,12.549,30.88504,%,93.149,73.895,61.656,1615,242280,3,,production,OP
2008-04-13,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,4,268.096,105.48,174.478,2.114,25.82296,%,93.618,48.682,63.311,430,65731,2,,production,OP
